athlete_name,season_count,season_unique_days,first_season_date,last_season_date,season_duration_days,season_density_ratio,season_days,rule1_category,mean_season_distance,rule2_adjusted,cluster,cluster_label,final_category
Takaya INUI,1892,443,2023-01-12,2024-11-27,686,0.6457725947521866,443,full,1529.8208194820295,full,0,partial,full
Takeaki HONMURA,1218,326,2023-01-12,2024-08-17,584,0.5582191780821918,326,full,1571.9779753530377,full,0,partial,full
Taku USHINOHAMA,1593,340,2024-01-12,2025-10-03,631,0.5388272583201268,340,full,6996.6706818330185,full,2,full,full
Takumi WAKAYA,1700,434,2023-01-12,2024-11-27,686,0.6326530612244898,434,full,1601.6125898,full,0,partial,full
Trainee 1,554,105,2024-04-24,2025-09-07,502,0.20916334661354583,105,full,892.4105658664259,partial,1,exclude,partial
Tsukasa SERA,766,172,2024-04-10,2025-10-03,542,0.3173431734317343,172,full,1084.0100532506528,partial,1,exclude,partial
Yamato MACHIDA,395,103,2025-01-12,2025-10-03,265,0.3886792452830189,103,full,924.4255246329114,partial,1,exclude,partial
Yosuke KAMIGATA,782,237,2023-01-12,2023-12-01,324,0.7314814814814815,237,full,1959.24749471867,full,1,exclude,full
Yudai NAGANO,823,241,2023-01-12,2023-12-02,325,0.7415384615384616,241,full,2034.8170783110572,full,1,exclude,full
Yuki KATO,635,234,2023-01-12,2023-12-01,324,0.7222222222222222,234,full,1333.8264527874016,full,1,exclude,full
Yuki NAKAYAMA,809,253,2023-01-12,2023-12-02,325,0.7784615384615384,253,full,1814.9219800618046,full,1,exclude,full
Yuki OKADA,830,238,2023-01-12,2023-12-02,325,0.7323076923076923,238,full,2136.8618918192774,full,1,exclude,full
Yuma TSUJIOKA,830,147,2025-01-11,2025-10-05,268,0.5485074626865671,147,full,914.2420796144578,partial,1,exclude,partial
Yusuke OOISHI,671,213,2023-02-23,2023-12-01,282,0.7553191489361702,213,full,2076.0586675707896,full,1,exclude,full
Yuya TANAKA,670,250,2023-01-12,2024-01-13,367,0.6811989100817438,250,full,1376.7340583880598,full,1,exclude,full
